"corpus","preloaded/brown_family_1"
"subcorpus","###8760347739804813861###"
Item,Frequency,Relative frequency
"VVI",6161,25207.23036
"VVN",5247,21467.67370
"VVG",2893,11836.47418
"VV0",2414,9876.68464
"VVD",2251,9209.78340
"VVZ",1991,8146.01455
"VVGK",31,126.83398
"VVNK",7,28.63993
"VVi",1,4.09142
"VVI33",0,0.00000
"VVG22",0,0.00000
"VVG21",0,0.00000
"VVO",0,0.00000
"VVND",0,0.00000
"VV022",0,0.00000
"VVN21",0,0.00000
"VVN22",0,0.00000
"VVI21",0,0.00000
"VVPR",0,0.00000
"VVI22",0,0.00000
"VVDZ",0,0.00000
"VVd",0,0.00000
"VVn",0,0.00000
"VVI32",0,0.00000
"VVI31",0,0.00000
"VV021",0,0.00000
"VV",0,0.00000
